mechanic,stage,native_entry_point,player_context_requirements,authoritative_owner,client_suppression_application_hook,persistence_representation,baseline_evidence,multiplayer_evidence,intentional_policy_differences,status,milestone,acceptance_tests
diplomacy,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
native special abilities,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
stage victory and transition request,Civilization,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M14,"T03,T06,T09,T11"
ship control and native travel,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
planet system and galaxy transfer,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
tools and combat,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
inventory energy currency,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
trade and spice production,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
colonies and buildings,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
terraforming and ecosystems,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
relationships and missions,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
empire events,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
native progress and unlocks,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
single global background authority,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
unloaded areas and persistent changes,Space,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,M15,"T03,T07,T10,T11,T12"
authenticated join and fresh-baseline reconnect,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
dedicated original-engine authority,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
single owned resource and fencing,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
content dependencies and quarantined import,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
canonical terrain and world records,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
immutable editor transactions,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
native checkpoint and crash recovery,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
location transfer and partitions,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
independent stage and location coexistence,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
applicable mixed-stage consequences,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
Cell to Creature transition,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
Creature to Tribal transition,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
Tribal to Civilization transition,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
Civilization to Space transition,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
native progression eligibility and inherited lineage,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
editor cancellation and simultaneous progression,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
full campaign alongside independent player,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
Internet hosting authentication and administration,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
network impairment correctness,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
clean install and supported operating envelope,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
multi-hour real-game soak,All,UNKNOWN - binding investigation required,UNKNOWN - persistent actor/species/faction context audit,Native resource owner; see authority-matrix.md,UNKNOWN - M05/stage probe,UNKNOWN - verified native artifact required,NOT RUN,NOT RUN,See multiplayer-policy.md; native mechanics preserved,TODO,"M08-M10,M16-M19","T01,T04,T05,T07,T08,T09,T10,T12,T13,T14,T15"
